gene_id	chr	strand	transcript_id
PGLYRP4	NC_000001.11	-	['NM_020393.4 (MANE)', 'XM_011509789.3', 'XM_011509790.1', 'XM_011509791.3', 'XM_011509792.1', 'XM_011509793.2']
PGM1	NC_000001.11	+	['NM_002633.3 (MANE)', 'NM_001172818.1', 'NM_001172819.2']
PGM2	NC_000004.12	+	['NM_018290.4 (MANE)', 'XM_047415895.1']
PGM2L1	NC_000011.10	-	['NM_173582.6 (MANE)', 'XM_011544953.4']
PGM3	NC_000006.12	-	['NM_015599.3 (MANE)', 'NM_001199917.2', 'NM_001199918.2', 'NM_001199919.2', 'NM_001367286.1', 'NM_001367287.1', 'XM_017010935.2', 'XM_017010937.2', 'XM_047418876.1', 'XM_047418877.1']
PGM5	NC_000009.12	+	['NM_021965.4 (MANE)', 'XM_011518782.4', 'XM_011518783.4', 'XM_024447573.2', 'XM_047423473.1']
PGP	NC_000016.10	-	['NM_001042371.3 (MANE)']
PGPEP1	NC_000019.10	+	['NM_017712.4 (MANE)', 'NM_001300927.2', 'NM_001308366.2', 'NM_001329471.2', 'NM_001329476.2', 'NM_001329477.2', 'NM_001329478.2']
PGPEP1L	NC_000015.10	-	['NM_001167902.2 (MANE)', 'NM_001102612.2']
PGR	NC_000011.10	-	['NM_000926.4 (MANE)', 'NM_001202474.3', 'NM_001271161.2', 'NM_001271162.2', 'XM_006718858.4', 'XM_011542869.3']
PGRMC1	NC_000023.11	+	['NM_006667.5 (MANE)', 'NM_001282621.2']
PGRMC2	NC_000004.12	-	['NM_006320.6 (MANE)']
PGS1	NC_000017.11	+	['NM_024419.5 (MANE)', 'XM_011525487.3', 'XM_011525488.3', 'XM_011525489.3', 'XM_017025357.2', 'XM_017025358.2', 'XM_017025359.2', 'XM_017025360.2', 'XM_017025361.3', 'XM_017025364.3', 'XM_047437101.1', 'XM_047437102.1', 'XM_047437103.1', 'XM_047437104.1', 'XM_047437105.1']
PHACTR1	NC_000006.12	+	['NM_030948.6 (MANE)', 'NM_001242648.4', 'NM_001322308.3', 'NM_001322309.3', 'NM_001322310.2', 'NM_001322311.2', 'NM_001322312.3', 'NM_001322313.2', 'NM_001322314.4', 'NM_001374581.2', 'NM_001374582.1', 'NM_001374583.2', 'NM_001374584.1', 'XM_005248934.4', 'XM_017010458.3', 'XM_017010459.3', 'XM_017010464.3', 'XM_047418372.1', 'XM_047418373.1', 'XM_047418374.1', 'XM_047418375.1']
PHACTR2	NC_000006.12	+	['NM_001100164.2 (MANE)', 'NM_001100165.2', 'NM_001100166.2', 'NM_001394736.1', 'NM_001394738.1', 'NM_014721.3']
PHACTR3	NC_000020.11	+	['NM_080672.5 (MANE)', 'NM_001199505.1', 'NM_001199506.2', 'NM_001281507.2', 'NM_183244.2', 'NM_183246.2', 'XM_011528525.3', 'XM_011528526.3', 'XM_017027626.3', 'XM_017027627.3', 'XM_017027628.2', 'XM_017027630.2', 'XM_017027631.2']
PHACTR4	NC_000001.11	+	['NM_001048183.3 (MANE)', 'NM_001350158.2', 'NM_001350159.2', 'NM_001350160.2', 'NM_001350161.2', 'NM_023923.4']
PHAF1	NC_000016.10	+	['NM_025187.5 (MANE)', 'NM_001320540.2', 'NM_001320541.2', 'NM_001320542.2', 'NM_001320543.2', 'XM_006721284.4', 'XM_011523350.4', 'XM_017023729.2', 'XM_017023731.2', 'XM_047434711.1', 'XM_047434712.1', 'XM_047434713.1', 'XM_047434714.1']
PHAX	NC_000005.10	+	['NM_032177.4 (MANE)']
PHB1	NC_000017.11	-	['NM_002634.4 (MANE)', 'NM_001281496.2', 'NM_001281497.2', 'NM_001281715.2', 'XM_017024763.2']
PHB2	NC_000012.12	-	['NM_001144831.2 (MANE)', 'NM_001267700.1', 'XM_047428234.1']
PHC1	NC_000012.12	+	['NM_004426.3 (MANE)', 'NM_001413738.1', 'NM_001413739.1', 'NM_001413740.1', 'NM_001413741.1', 'NM_001413742.1', 'NM_001413743.1', 'NM_001413744.1', 'NM_001413745.1', 'NM_001413746.1', 'NM_001413747.1', 'NM_001413748.1', 'NM_001413749.1', 'NM_001413750.1', 'NM_001413751.1', 'NM_001413752.1', 'NM_001413753.1', 'NM_001413754.1', 'XM_011520599.3', 'XM_011520600.3', 'XM_011520603.3', 'XM_017018955.3', 'XM_017018957.2', 'XM_047428475.1']
PHC2	NC_000001.11	-	['NM_001385109.1 (MANE)', 'NM_001330488.2', 'NM_001385112.1', 'NM_001385119.1', 'NM_001385120.1', 'NM_001385121.1', 'NM_001385122.1', 'NM_001385123.1', 'NM_004427.4', 'NM_198040.3']
PHC3	NC_000003.12	-	['NM_024947.4 (MANE)', 'NM_001308116.2', 'XM_005247789.4', 'XM_005247791.5', 'XM_005247793.4', 'XM_006713753.3', 'XM_006713754.5', 'XM_006713756.4', 'XM_006713757.5', 'XM_011513188.4', 'XM_011513189.4', 'XM_017007235.3', 'XM_017007237.3', 'XM_017007238.3', 'XM_047448982.1', 'XM_047448983.1', 'XM_047448984.1', 'XM_047448986.1', 'XM_047448987.1', 'XM_047448988.1', 'XM_047448989.1', 'XM_047448990.1', 'XM_047448991.1']
PHETA1	NC_000012.12	-	['NM_144671.6 (MANE)', 'NM_001177996.3', 'NM_001177997.3', 'XM_006719257.4', 'XM_011537976.3', 'XM_017018883.2']
PHETA2	NC_000022.11	+	['NM_001002034.3 (MANE)']
PHEX	NC_000023.11	+	['NM_000444.6 (MANE)', 'NM_001282754.2', 'XM_011545533.2', 'XM_011545536.3', 'XM_017029579.2', 'XM_024452390.2', 'XM_047442159.1']
PHF1	NC_000006.12	+	['NM_024165.3 (MANE)', 'NM_002636.5', 'XM_011514662.2', 'XM_011514663.2', 'XM_011514664.2', 'XM_011514665.2', 'XM_011514666.2', 'XM_011514669.2', 'XM_011514670.3', 'XM_047418879.1', 'XM_047418881.1']
PHF10	NC_000006.12	-	['NM_018288.4 (MANE)', 'NM_133325.3']
PHF11	NC_000013.11	+	['NM_001040443.3 (MANE)', 'NM_001040444.3', 'NM_001419873.1', 'NM_001419874.1', 'NM_001419875.1', 'NM_001419876.1']
PHF12	NC_000017.11	-	['NM_001033561.2 (MANE)', 'NM_001290131.2', 'NM_020889.3']
PHF13	NC_000001.11	+	['NM_153812.3 (MANE)', 'XM_011540762.2']
PHF14	NC_000007.14	+	['NM_001007157.2 (MANE)', 'NM_014660.4']
PHF19	NC_000009.12	-	['NM_015651.3 (MANE)', 'NM_001009936.3', 'NM_001286840.1', 'NM_001286842.1', 'NM_001286843.2', 'XM_005251906.4', 'XM_011518509.4', 'XM_011518515.3', 'XM_011518516.3', 'XM_017014612.3', 'XM_024447507.2', 'XM_047423210.1', 'XM_047423211.1']
PHF2	NC_000009.12	+	['NM_005392.4 (MANE)', 'XM_005252051.3', 'XM_006717143.3', 'XM_047423474.1', 'XM_047423475.1']
PHF20	NC_000020.11	+	['NM_016436.5 (MANE)', 'XM_005260421.4', 'XM_011528844.3', 'XM_017027868.3', 'XM_047440180.1', 'XM_047440181.1', 'XM_047440182.1', 'XM_047440183.1', 'XM_047440184.1', 'XM_047440185.1', 'XM_047440186.1']
PHF20L1	NC_000008.11	+	['NM_016018.5 (MANE)', 'NM_001277196.2', 'NM_001362971.2', 'NM_198513.2', 'XM_011517075.1', 'XM_011517076.1', 'XM_011517077.1', 'XM_011517078.1', 'XM_011517079.1', 'XM_011517080.1', 'XM_011517081.1', 'XM_011517088.1', 'XM_017013509.1', 'XM_017013510.1', 'XM_017013511.1', 'XM_017013516.1', 'XM_017013517.2', 'XM_047421815.1', 'XM_047421816.1', 'XM_047421817.1', 'XM_047421818.1', 'XM_047421819.1', 'XM_047421820.1', 'XM_047421821.1', 'XM_047421822.1', 'XM_047421823.1', 'XM_047421824.1', 'XM_047421825.1', 'XM_047421826.1', 'XM_047421827.1']
PHF21A	NC_000011.10	-	['NM_001352027.3 (MANE)', 'NM_001101802.3', 'NM_001352025.3', 'NM_001352026.3', 'NM_001352028.1', 'NM_001352029.1', 'NM_001352030.3', 'NM_001352031.3', 'NM_001352032.3', 'NM_016621.5', 'XM_005252965.5', 'XM_011520157.3', 'XM_011520158.3', 'XM_011520174.3', 'XM_011520175.3', 'XM_011520179.4', 'XM_017017887.3', 'XM_017017889.2', 'XM_017017891.2', 'XM_017017892.2', 'XM_017017907.2', 'XM_047427079.1', 'XM_047427080.1', 'XM_047427081.1', 'XM_047427082.1', 'XM_047427083.1', 'XM_047427084.1', 'XM_047427085.1', 'XM_047427086.1', 'XM_047427087.1', 'XM_047427088.1', 'XM_047427089.1', 'XM_047427090.1', 'XM_047427091.1', 'XM_047427092.1', 'XM_047427093.1', 'XM_047427094.1', 'XM_047427095.1', 'XM_047427097.1', 'XM_047427098.1', 'XM_047427099.1', 'XM_047427100.1', 'XM_047427101.1', 'XM_047427102.1', 'XM_047427103.1', 'XM_047427104.1', 'XM_047427105.1', 'XM_047427107.1', 'XM_047427108.1', 'XM_047427109.1', 'XM_047427110.1', 'XM_047427111.1', 'XM_047427113.1']
PHF21B	NC_000022.11	-	['NM_138415.5 (MANE)', 'NM_001135862.3', 'NM_001242450.2', 'NM_001284296.2', 'NM_001413063.1', 'XM_011529855.2', 'XM_047441109.1', 'XM_047441110.1']
PHF23	NC_000017.11	-	['NM_024297.3 (MANE)', 'NM_001284517.2', 'NM_001284518.2', 'XM_024450938.2', 'XM_024450939.2', 'XM_024450940.2', 'XM_024450942.2', 'XM_047436728.1', 'XM_047436729.1', 'XM_047436730.1']
PHF24	NC_000009.12	+	['NM_015297.3 (MANE)', 'NM_001304333.3', 'NM_001347982.1', 'NM_001347983.2', 'NM_001395369.1', 'NM_001395370.1', 'NM_001395371.1', 'NM_001395372.1', 'XM_017014553.3', 'XM_017014554.2', 'XM_017014555.2', 'XM_017014556.2', 'XM_047423102.1', 'XM_047423103.1']
PHF3	NC_000006.12	+	['NM_001370348.2 (MANE)', 'NM_001290259.2', 'NM_001290260.2', 'NM_001370349.2', 'NM_001370350.2', 'NM_015153.4', 'XM_011535648.4', 'XM_047418528.1', 'XM_047418529.1', 'XM_047418530.1']
PHF5A	NC_000022.11	-	['NM_032758.4 (MANE)']
PHF6	NC_000023.11	+	['NM_001015877.2 (MANE)', 'NM_032335.3', 'NM_032458.3']
PHF7	NC_000003.12	+	['NM_016483.7 (MANE)', 'NM_001278221.3', 'NM_001321126.2', 'NM_001321127.2', 'XM_011533826.4', 'XM_024453589.2', 'XM_047448295.1', 'XM_047448296.1']
PHF8	NC_000023.11	-	['NM_015107.3 (MANE)', 'NM_001184896.1', 'NM_001184897.2', 'NM_001184898.2', 'XM_005261996.2', 'XM_005261999.2', 'XM_005262000.2', 'XM_011530778.2', 'XM_047441934.1', 'XM_047441935.1', 'XM_047441936.1', 'XM_047441937.1']
PHGDH	NC_000001.11	+	['NM_006623.4 (MANE)', 'XM_011541226.3', 'XM_011541227.3', 'XM_011541228.3', 'XM_047417680.1', 'XM_047417682.1', 'XM_047417683.1']
PHGR1	NC_000015.10	+	['NM_001145643.2 (MANE)']
PHIP	NC_000006.12	-	['NM_017934.7 (MANE)', 'XM_005248729.6', 'XM_011535918.4', 'XM_011535919.2']
PHKA1	NC_000023.11	-	['NM_002637.4 (MANE)', 'NM_001122670.2', 'NM_001172436.2', 'NM_001431068.1', 'XM_006724661.3', 'XM_047442160.1', 'XM_047442161.1', 'XM_047442162.1']
PHKA2	NC_000023.11	-	['NM_000292.3 (MANE)', 'XM_005274548.6', 'XM_005274550.6', 'XM_006724496.5', 'XM_011545537.4', 'XM_011545538.4', 'XM_017029580.3', 'XM_047442163.1', 'XM_047442164.1', 'XM_047442165.1', 'XM_047442166.1']
PHKB	NC_000016.10	+	['NM_000293.3 (MANE)', 'NM_001031835.3', 'NM_001363837.1']
PHKG1	NC_000007.14	-	['NM_006213.5 (MANE)', 'NM_001258459.2', 'NM_001258460.2', 'XM_005271772.6', 'XM_017012324.3', 'XM_017012326.3', 'XM_017012327.3']
PHKG2	NC_000016.10	+	['NM_000294.3 (MANE)', 'NM_001172432.2']
PHLDA1	NC_000012.12	-	['NM_007350.3 (MANE)']
PHLDA2	NC_000011.10	-	['NM_003311.4 (MANE)']
PHLDA3	NC_000001.11	-	['NM_012396.5 (MANE)']
PHLDB1	NC_000011.10	+	['NM_001144758.3 (MANE)', 'NM_001144759.3', 'NM_015157.4', 'XM_005271468.4', 'XM_005271469.4', 'XM_005271470.4', 'XM_005271471.4', 'XM_005271472.4', 'XM_005271473.4', 'XM_005271474.6', 'XM_005271475.4', 'XM_005277680.4', 'XM_006718797.4', 'XM_006718798.4', 'XM_006718799.4', 'XM_006718800.4', 'XM_006718801.4', 'XM_006718802.4', 'XM_006718803.4', 'XM_011542703.3', 'XM_011542704.3', 'XM_011542705.3', 'XM_011542706.3', 'XM_011542707.3', 'XM_011542708.4', 'XM_011542709.3', 'XM_011542710.3', 'XM_011542714.3', 'XM_011542715.4', 'XM_017017407.2', 'XM_017017408.2', 'XM_017017409.2', 'XM_017017410.2', 'XM_017017411.2', 'XM_047426632.1', 'XM_047426633.1', 'XM_047426634.1', 'XM_047426635.1', 'XM_047426636.1', 'XM_047426637.1', 'XM_047426638.1', 'XM_047426639.1', 'XM_047426640.1', 'XM_047426641.1', 'XM_047426642.1', 'XM_047426643.1', 'XM_047426644.1', 'XM_047426645.1', 'XM_047426646.1', 'XM_047426647.1', 'XM_047426648.1']
PHLDB2	NC_000003.12	+	['NM_001134438.2 (MANE)', 'NM_001134437.2', 'NM_001134439.2', 'NM_145753.2']
PHLDB3	NC_000019.10	-	['NM_198850.4 (MANE)', 'XM_005259169.5', 'XM_005259170.5', 'XM_005259171.5', 'XM_047439240.1', 'XM_047439241.1', 'XM_047439242.1']
PHLPP1	NC_000018.10	+	['NM_194449.4 (MANE)']
PHLPP2	NC_000016.10	-	['NM_015020.3 (MANE)', 'NM_001289003.1']
PHOSPHO1	NC_000017.11	-	['NM_178500.4 (MANE)', 'NM_001143804.2', 'XM_047435504.1', 'XM_047435505.1', 'XM_047435506.1']
PHOSPHO2	NC_000002.12	+	['NM_001008489.4 (MANE)', 'NM_001199285.2', 'NM_001199286.2', 'NM_001199287.2', 'NM_001199288.2']
PHOSPHO2-KLHL23	NC_000002.12	+	['NM_001199290.3']
PHOX2A	NC_000011.10	-	['NM_005169.4 (MANE)', 'NM_001425096.1', 'NM_001425097.1', 'NM_001425098.1']
PHOX2B	NC_000004.12	-	['NM_003924.4 (MANE)']
PHPT1	NC_000009.12	+	['NM_014172.6 (MANE)', 'NM_001135861.3', 'NM_001287342.2', 'NM_001287343.2']
PHRF1	NC_000011.10	+	['NM_001286581.2 (MANE)', 'NM_001286582.2', 'NM_001286583.2', 'NM_020901.4', 'XM_005253025.6', 'XM_005253027.4', 'XM_011520236.4', 'XM_011520237.4', 'XM_047427342.1', 'XM_047427343.1', 'XM_047427344.1', 'XM_047427345.1', 'XM_047427346.1', 'XM_047427347.1', 'XM_047427348.1']
PHTF1	NC_000001.11	-	['NM_001323043.2 (MANE)', 'NM_001323041.2', 'NM_001323042.2', 'NM_001323044.2', 'NM_001323045.2', 'NM_001323046.2', 'NM_001323047.2', 'NM_001323048.2', 'NM_001323049.2', 'NM_001323050.2', 'NM_001323051.2', 'NM_001323052.2', 'NM_001323053.2', 'NM_006608.3']
PHTF2	NC_000007.14	+	['NM_001395272.1 (MANE)', 'NM_001127357.2', 'NM_001127358.2', 'NM_001127359.2', 'NM_001127360.2', 'NM_001366081.1', 'NM_001366082.2', 'NM_001366083.1', 'NM_001366084.1', 'NM_001366085.2', 'NM_001366086.1', 'NM_001366087.1', 'NM_001366088.2', 'NM_001366089.1', 'NM_001395270.1', 'NM_001395271.1', 'NM_020432.5', 'XM_005250509.5', 'XM_011516422.4', 'XM_011516423.4', 'XM_011516424.3', 'XM_047420638.1', 'XM_047420639.1', 'XM_047420640.1']
PHYH	NC_000010.11	-	['NM_006214.4 (MANE)', 'NM_001037537.2', 'NM_001323080.2', 'NM_001323082.2', 'NM_001323083.2', 'NM_001323084.2']
PHYHD1	NC_000009.12	+	['NM_001100876.2 (MANE)', 'NM_001100877.1', 'NM_174933.4']
PHYHIP	NC_000008.11	-	['NM_014759.5 (MANE)', 'NM_001099335.2', 'NM_001363311.2', 'NM_001363312.2', 'XM_017014102.3']
PHYHIPL	NC_000010.11	+	['NM_032439.4 (MANE)', 'NM_001143774.2', 'XM_011540275.4', 'XM_011540276.4', 'XM_017016782.2', 'XM_017016783.3']
PHYKPL	NC_000005.10	-	['NM_153373.4 (MANE)', 'NM_001278346.1', 'XM_006714925.3', 'XM_011534669.3', 'XM_011534670.4', 'XM_011534671.3', 'XM_011534674.3', 'XM_017009995.2', 'XM_024446240.2', 'XM_024446241.2', 'XM_024446243.2', 'XM_024446245.2', 'XM_024446247.2', 'XM_024446250.2', 'XM_024446251.2', 'XM_024446252.2', 'XM_047417837.1', 'XM_047417838.1', 'XM_047417839.1', 'XM_047417840.1', 'XM_047417841.1', 'XM_047417843.1']
PI15	NC_000008.11	+	['NM_015886.5 (MANE)', 'NM_001324403.2']
PI16	NC_000006.12	+	['NM_153370.3 (MANE)', 'NM_001199159.2', 'XM_005248917.4', 'XM_011514375.4', 'XM_017010430.3']
PI3	NC_000020.11	+	['NM_002638.4 (MANE)']
PI4K2A	NC_000010.11	+	['NM_018425.4 (MANE)']
PI4K2B	NC_000004.12	+	['NM_018323.4 (MANE)', 'XM_005248174.3', 'XM_005248175.5']
PI4KA	NC_000022.11	-	['NM_058004.4 (MANE)', 'NM_001362862.2', 'NM_001362863.2', 'XM_005261635.2', 'XM_011530226.2', 'XM_011530228.3', 'XM_047441408.1', 'XM_047441409.1', 'XM_047441410.1']
PI4KB	NC_000001.11	-	['NM_001369623.2 (MANE)', 'NM_001198773.3', 'NM_001198774.2', 'NM_001198775.3', 'NM_001330721.2', 'NM_001369624.1', 'NM_001369625.1', 'NM_001369626.1', 'NM_001369628.1', 'NM_001369629.2', 'NM_002651.4', 'XM_011509634.2', 'XM_017001486.2', 'XM_017001488.2', 'XM_047422590.1']
PIANP	NC_000012.12	-	['NM_001244014.2 (MANE)', 'NM_001244015.2', 'NM_153685.4', 'XM_011520926.4', 'XM_047428488.1']
PIAS1	NC_000015.10	+	['NM_016166.3 (MANE)', 'NM_001320687.1', 'XM_011522126.3', 'XM_011522127.3', 'XM_017022688.2', 'XM_017022689.2', 'XM_047433197.1']
PIAS2	NC_000018.10	-	['NM_004671.5 (MANE)', 'NM_001324046.2', 'NM_001324047.2', 'NM_001324048.2', 'NM_001324049.2', 'NM_001324051.2', 'NM_001324052.2', 'NM_001324053.2', 'NM_001324054.2', 'NM_001324055.2', 'NM_001324057.2', 'NM_001324058.2', 'NM_001324059.2', 'NM_001324060.2', 'NM_001354033.2', 'NM_001354034.2', 'NM_001354035.2', 'NM_001354036.2', 'NM_001354037.2', 'NM_001354038.2', 'NM_001354039.2', 'NM_173206.4', 'XM_006722573.3']
PIAS3	NC_000001.11	-	['NM_006099.3 (MANE)']
PIAS4	NC_000019.10	+	['NM_015897.4 (MANE)', 'XM_011528060.3', 'XM_017026868.2']
PIBF1	NC_000013.11	+	['NM_006346.4 (MANE)', 'NM_001349655.2', 'XM_011534882.4', 'XM_011534884.4', 'XM_011534885.4', 'XM_011534886.4', 'XM_017020351.2', 'XM_024449314.2', 'XM_047430045.1', 'XM_047430046.1', 'XM_047430047.1', 'XM_047430048.1', 'XM_047430049.1', 'XM_047430050.1']
PICALM	NC_000011.10	-	['NM_007166.4 (MANE)', 'NM_001008660.3', 'NM_001206946.2', 'NM_001206947.2', 'NM_001411034.1', 'XM_005274322.4', 'XM_005274326.4', 'XM_005274328.4', 'XM_005274329.5', 'XM_005274334.4', 'XM_005274336.4', 'XM_005274337.4', 'XM_005274340.4', 'XM_017018381.3', 'XM_017018383.3', 'XM_017018384.3', 'XM_017018385.3', 'XM_017018386.3', 'XM_017018387.3', 'XM_017018388.3', 'XM_024448700.2', 'XM_047427659.1', 'XM_047427660.1', 'XM_047427661.1', 'XM_047427662.1', 'XM_047427663.1', 'XM_047427665.1', 'XM_047427666.1', 'XM_047427667.1', 'XM_047427668.1', 'XM_047427669.1']
PICK1	NC_000022.11	+	['NM_012407.4 (MANE)', 'NM_001039583.1', 'NM_001039584.1', 'XM_011530517.4', 'XM_047441609.1', 'XM_047441610.1', 'XM_047441611.1', 'XM_047441612.1', 'XM_047441613.1']
PID1	NC_000002.12	-	['NM_001100818.2 (MANE)', 'NM_001330156.1', 'NM_001330157.2', 'NM_001330158.2', 'NM_017933.5', 'XM_017004404.2', 'XM_047444845.1']
PIDD1	NC_000011.10	-	['NM_145886.4 (MANE)', 'NM_145887.4', 'XM_005253005.6', 'XM_005253006.6', 'XM_011520209.4', 'XM_011520210.4', 'XM_011520212.3', 'XM_011520213.3', 'XM_047427238.1', 'XM_047427239.1', 'XM_047427240.1', 'XM_047427241.1', 'XM_047427242.1', 'XM_047427243.1', 'XM_047427244.1', 'XM_047427245.1', 'XM_047427246.1']
PIERCE1	NC_000009.12	-	['NM_001048265.2 (MANE)', 'NM_144654.3']
PIERCE2	NC_000015.10	+	['NM_001198784.2 (MANE)']
PIEZO1	NC_000016.10	-	['NM_001142864.4 (MANE)']
PIEZO2	NC_000018.10	-	['NM_001378183.1 (MANE)', 'NM_001410871.1', 'NM_022068.4', 'XM_011525723.4', 'XM_011525725.4', 'XM_011525726.4', 'XM_017025918.3', 'XM_047437735.1', 'XM_047437736.1', 'XM_047437737.1', 'XM_047437738.1']
PIF1	NC_000015.10	-	['NM_001286496.2 (MANE)', 'NM_001286497.2', 'NM_001286499.2', 'NM_025049.4', 'XM_011522083.3', 'XM_011522084.3', 'XM_047433140.1']
PIGA	NC_000023.11	-	['NM_002641.4 (MANE)', 'NM_020473.3', 'XM_011545539.3']
PIGB	NC_000015.10	+	['NM_004855.5 (MANE)', 'XM_005254795.6', 'XM_011522235.4', 'XM_011522236.4', 'XM_011522237.3', 'XM_017022730.1', 'XM_017022731.2', 'XM_047433363.1', 'XM_047433364.1', 'XM_047433365.1']
PIGBOS1	NC_000015.10	-	['NM_001308421.2 (MANE)', 'NM_001308422.2', 'NM_001308423.2', 'XM_047432079.1']
PIGC	NC_000001.11	-	['NM_153747.2 (MANE)', 'NM_002642.4']
PIGF	NC_000002.12	-	['NM_002643.4 (MANE)', 'NM_173074.3', 'XM_005264369.4', 'XM_011532908.4']
PIGG	NC_000004.12	+	['NM_001127178.3 (MANE)', 'NM_001289051.2', 'NM_001289052.2', 'NM_001289053.2', 'NM_001289055.2', 'NM_001289057.2', 'NM_001345986.2', 'NM_001345987.2', 'NM_001345988.2', 'NM_001345989.2', 'NM_001345990.2', 'NM_001345991.2', 'NM_001345994.2', 'NM_017733.5', 'XM_011513490.4', 'XM_011513492.2', 'XM_011513494.4', 'XM_047415846.1', 'XM_047415847.1', 'XM_047415848.1', 'XM_047415849.1', 'XM_047415850.1', 'XM_047415851.1', 'XM_047415852.1', 'XM_047415853.1', 'XM_047415854.1', 'XM_047415855.1', 'XM_047415856.1', 'XM_047415857.1']
PIGH	NC_000014.9	-	['NM_004569.5 (MANE)', 'NM_001363694.1', 'XM_011536838.4', 'XM_017021371.3']
PIGK	NC_000001.11	-	['NM_005482.3 (MANE)']
PIGL	NC_000017.11	+	['NM_004278.4 (MANE)', 'NM_001411072.1', 'XM_011524080.3', 'XM_047437097.1', 'XM_047437099.1', 'XM_047437100.1']
PIGM	NC_000001.11	-	['NM_145167.3 (MANE)']
PIGN	NC_000018.10	-	['NM_176787.5 (MANE)', 'NM_012327.6', 'XM_011525889.2', 'XM_011525890.2', 'XM_011525891.2', 'XM_011525892.2', 'XM_011525893.2', 'XM_011525894.2', 'XM_011525895.2', 'XM_011525896.2', 'XM_011525898.2', 'XM_017025685.2', 'XM_047437430.1', 'XM_047437431.1', 'XM_047437432.1', 'XM_047437433.1', 'XM_047437434.1', 'XM_047437435.1', 'XM_047437436.1', 'XM_047437437.1', 'XM_047437438.1', 'XM_047437439.1', 'XM_047437440.1', 'XM_047437441.1', 'XM_047437442.1', 'XM_047437443.1', 'XM_047437444.1', 'XM_047437445.1', 'XM_047437446.1', 'XM_047437447.1', 'XM_047437448.1', 'XM_047437449.1', 'XM_047437450.1', 'XM_047437451.1', 'XM_047437452.1', 'XM_047437453.1', 'XM_047437454.1', 'XM_047437455.1', 'XM_047437456.1', 'XM_047437457.1', 'XM_047437458.1', 'XM_047437459.1', 'XM_047437460.1', 'XM_047437461.1', 'XM_047437462.1', 'XM_047437463.1', 'XM_047437464.1']
PIGO	NC_000009.12	-	['NM_032634.4 (MANE)', 'NM_001201484.2', 'NM_152850.4', 'XM_005251619.4', 'XM_047423974.1']
PIGP	NC_000021.9	-	['NM_153682.3 (MANE)', 'NM_001320480.2', 'NM_016430.4', 'NM_153681.2']
PIGQ	NC_000016.10	+	['NM_004204.5 (MANE)', 'NM_148920.4']
PIGR	NC_000001.11	-	['NM_002644.4 (MANE)', 'XM_011509629.2']
PIGS	NC_000017.11	-	['NM_033198.4 (MANE)']
PIGT	NC_000020.11	+	['NM_015937.6 (MANE)', 'NM_001184728.3', 'NM_001184729.3', 'NM_001184730.3']
PIGU	NC_000020.11	-	['NM_080476.5 (MANE)', 'XM_011528542.2', 'XM_017027664.2']
PIGV	NC_000001.11	+	['NM_017837.4 (MANE)', 'NM_001202554.2', 'NM_001374478.1', 'NM_001374480.1', 'NM_001374481.1', 'NM_001374482.1', 'NM_001374483.1', 'NM_001374484.1', 'NM_001374485.1', 'NM_001374486.1']
PIGW	NC_000017.11	+	['NM_001346754.2 (MANE)', 'NM_001346755.2', 'NM_178517.5']
PIGX	NC_000003.12	+	['NM_017861.4 (MANE)', 'NM_001166304.2']
PIGY	NC_000004.12	-	['NM_001042616.3 (MANE)']
PIGZ	NC_000003.12	-	['NM_025163.4 (MANE)', 'XM_011513192.3', 'XM_017007241.2', 'XM_017007243.2', 'XM_024453766.2', 'XM_024453767.2', 'XM_047448993.1']
PIH1D1	NC_000019.10	-	['NM_017916.3 (MANE)', 'XM_024451570.2', 'XM_047439024.1', 'XM_047439025.1']
PIH1D2	NC_000011.10	-	['NM_138789.4 (MANE)', 'NM_001082619.2', 'XM_017017201.3', 'XM_017017203.3', 'XM_017017204.3', 'XM_017017205.3', 'XM_024448349.2', 'XM_024448350.2', 'XM_047426366.1', 'XM_047426368.1', 'XM_047426369.1']
PIK3AP1	NC_000010.11	-	['NM_152309.3 (MANE)', 'XM_005269499.2', 'XM_011539248.2', 'XM_047424566.1']
PIK3C2A	NC_000011.10	-	['NM_002645.4 (MANE)', 'NM_001321378.2', 'NM_001321380.2', 'NM_001386870.1', 'XM_047427127.1', 'XM_047427128.1']
PIK3C2B	NC_000001.11	-	['NM_001377334.1 (MANE)', 'NM_001377335.1', 'NM_002646.4']
PIK3C2G	NC_000012.12	+	['NM_001288772.2 (MANE)', 'NM_001288774.2', 'NM_004570.6', 'XM_011520697.3', 'XM_011520701.3', 'XM_017019471.2', 'XM_017019473.3', 'XM_017019475.2', 'XM_017019478.3', 'XM_017019479.2', 'XM_047429005.1', 'XM_047429006.1', 'XM_047429007.1', 'XM_047429008.1', 'XM_047429009.1', 'XM_047429010.1']
PIK3C3	NC_000018.10	+	['NM_002647.4 (MANE)', 'NM_001308020.2', 'XM_047437549.1', 'XM_047437550.1', 'XM_047437551.1']
PIK3CA	NC_000003.12	+	['NM_006218.4 (MANE)', 'XM_006713658.5']
